global_rank,continent_rank,score,antidiscrimination_legislation,marriage_civil_partners,adoption_allowed,transgender_rights,intersex_3rd_option,equal_age_of_consent,conversion_therapy,lgbt_marketing,religious_influence,hiv_travel_restrictions,anti_gay_laws,homossexuality_illegal,pride_banned,locals_hostile,prosecution,murders,death_sentences,continent_id,region_id
25,14,-11,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,0,0,-1,0,-2,0,c3,c3r10
26,15,-12,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,0,-2,-1,-2,0,c3,c3r18
3,1,11,2,2,2,2,1,0,0,2,0,-1,0,0,0,1,0,0,0,c4,c4r0
3,1,11,2,2,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,c4,c4r6
7,2,7,2,2,2,2,-1,0,1,0,-1,0,0,0,0,0,0,0,0,c4,c4r3
7,2,7,2,2,2,2,-1,0,1,0,0,0,0,0,0,-1,0,0,0,c4,c4r5
11,3,3,1,2,2,1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,c4,c4r4
17,4,-3,3,-1,0,-1,-1,0,0,0,-1,0,-1,0,0,-1,0,0,0,c4,c4r2
18,5,-4,1,-1,0,0,0,0,1,0,-2,0,-1,-1,0,-1,0,0,0,c4,c4r8
20,6,-6,0,-1,0,-1,-1,0,-1,0,-1,0,0,0,0,-1,0,0,0,c4,c4r11
22,7,-8,1,-1,0,0,-1,0,-1,0,-2,-1,-1,-1,0,-1,0,0,0,c4,c4r1
23,8,-9,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-1,0,0,0,c4,c4r10
24,9,-10,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,0,0,0,c4,c4r7
25,10,-11,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,-1,0,-2,0,0,0,c4,c4r9
3,1,11,2,2,2,3,2,0,1,0,0,0,0,0,0,0,0,-1,0,c5,c5r12
5,2,9,1,2,2,3,1,0,1,1,-1,0,0,0,0,0,0,-1,0,c5,c5r0
5,2,9,2,2,2,3,1,0,-1,1,0,0,0,0,0,0,0,-1,0,c5,c5r5
8,3,6,2,2,2,3,1,-1,-1,0,-1,0,0,0,0,0,0,-1,0,c5,c5r4
9,4,5,2,2,2,3,-1,0,1,0,-1,0,0,0,0,-1,0,-2,0,c5,c5r3
10,5,4,3,2,0,2,-1,0,1,0,-1,0,0,0,0,-1,0,-1,0,c5,c5r7
16,6,-2,1,1,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,c5,c5r1
16,6,-2,2,0,0,1,-1,0,-1,0,-1,0,0,0,0,-1,0,-1,0,c5,c5r2
18,7,-4,1,0,0,0,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,c5,c5r6
19,8,-5,1,-1,0,2,-1,0,-1,0,-1,0,-1,0,0,-1,0,-2,0,c5,c5r10
19,8,-5,1,-1,0,0,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,0,c5,c5r11
22,9,-8,0,-1,0,-1,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,0,c5,c5r9
